frame,short_prob,long_prob,fused_prob,pred
0,0.000000,0.000000,0.009364,0
1,0.000000,0.000000,0.016855,0
2,0.000000,0.000000,0.022847,0
3,0.000000,0.000000,0.027641,0
4,0.000000,0.000000,0.031477,0
5,0.000000,0.000000,0.034545,0
6,0.000000,0.000000,0.037000,0
7,0.000000,0.000000,0.038963,0
8,0.000000,0.000000,0.040534,0
9,0.000000,0.000000,0.041791,0
10,0.000000,0.000000,0.042797,0
11,0.000000,0.000000,0.043601,0
12,0.000000,0.000000,0.044244,0
13,0.000000,0.000000,0.044759,0
14,0.000000,0.000000,0.045171,0
15,0.000000,0.000000,0.045500,0
16,0.000000,0.000000,0.045764,0
17,0.000000,0.000000,0.045975,0
18,0.000000,0.000000,0.046144,0
19,0.000000,0.000000,0.046278,0
20,0.000000,0.000000,0.046386,0
21,0.000000,0.000000,0.046473,0
22,0.000000,0.000000,0.046542,0
23,0.000000,0.000000,0.046597,0
24,0.000000,0.000000,0.046641,0
25,0.000000,0.000000,0.046677,0
26,0.000000,0.000000,0.046705,0
27,0.000000,0.000000,0.046728,0
28,0.000000,0.000000,0.046746,0
29,0.037264,0.000000,0.046831,0
30,0.037264,0.000000,0.046899,0
31,0.037264,0.000000,0.046954,0
32,0.037264,0.000000,0.046998,0
33,0.037264,0.000000,0.047033,0
34,0.037264,0.000000,0.047060,0
35,0.037264,0.000000,0.047083,0
36,0.037264,0.000000,0.047101,0
37,0.037264,0.000000,0.047115,0
38,0.037264,0.000000,0.047127,0
39,0.037264,0.000000,0.047136,0
40,0.037264,0.000000,0.047143,0
41,0.037264,0.000000,0.047149,0
42,0.037264,0.000000,0.047154,0
43,0.037264,0.000000,0.047157,0
44,0.789119,0.000000,0.048710,0
45,0.789119,0.000000,0.049951,0
46,0.789119,0.000000,0.050945,0
47,0.789119,0.000000,0.051739,0
48,0.789119,0.000000,0.052375,0
49,0.789119,0.000000,0.052884,0
50,0.789119,0.000000,0.053291,0
51,0.789119,0.000000,0.053616,0
52,0.789119,0.000000,0.053877,0
53,0.789119,0.000000,0.054085,0
54,0.789119,0.000000,0.054252,0
55,0.789119,0.000000,0.054385,0
56,0.789119,0.000000,0.054492,0
57,0.789119,0.000000,0.054577,0
58,0.789119,0.000000,0.054645,0
59,0.975360,0.000000,0.054564,0
60,0.975360,0.000000,0.054498,0
61,0.975360,0.000000,0.054446,0
62,0.975360,0.000000,0.054404,0
63,0.975360,0.000000,0.054371,0
64,0.975360,0.000000,0.054344,0
65,0.975360,0.000000,0.054322,0
66,0.975360,0.000000,0.054305,0
67,0.975360,0.000000,0.054292,0
68,0.975360,0.000000,0.054281,0
69,0.975360,0.000000,0.054272,0
70,0.975360,0.000000,0.054265,0
71,0.975360,0.000000,0.054259,0
72,0.975360,0.000000,0.054255,0
73,0.975360,0.000000,0.054251,0
