event_index,video_id,long_end_frame,short_prob,long_prob,fused_prob,fused_pred,label
0,1,74,0.446832,0.325013,0.838056,1,1
300,54,74,0.587276,0.407066,0.917628,1,1
223,45,74,0.288528,0.284930,0.685744,1,1
108,3,74,0.278084,0.274820,0.617889,0,1
104,29,74,0.529445,0.346432,0.860149,1,1
98,28,74,0.083597,0.385825,0.647959,0,1
96,27,74,0.779928,0.385038,0.897121,1,1
311,56,74,0.282039,0.333783,0.787218,1,0
88,26,74,0.322854,0.376704,0.842320,1,1
87,25,74,0.487194,0.249940,0.520313,0,1
119,30,74,0.410450,0.367503,0.887758,1,0
84,24,74,0.697605,0.414592,0.922410,1,1
79,22,74,0.569744,0.315905,0.808048,1,1
77,21,74,0.552251,0.368207,0.884149,1,1
75,20,74,0.518984,0.253371,0.528493,0,1
69,2,74,0.150393,0.253554,0.324494,0,1
66,19,74,0.428990,0.341525,0.859849,1,1
64,18,74,0.514403,0.413670,0.921266,1,1
59,17,74,0.708351,0.391072,0.904299,1,1
55,16,74,0.706075,0.415343,0.922900,1,1
319,57,74,0.050572,0.273862,0.324450,0,1
81,23,74,0.702573,0.360139,0.869356,1,1
122,31,74,0.220649,0.256977,0.421978,0,1
294,53,74,0.566488,0.438070,0.934151,1,1
130,32,74,0.587240,0.420504,0.925323,1,1
231,46,74,0.293808,0.423406,0.798797,1,0
211,44,74,0.383849,0.246129,0.459331,0,1
240,47,74,0.244119,0.419145,0.740341,1,1
204,43,74,0.441424,0.397387,0.911194,1,1
199,42,74,0.499900,0.417612,0.923316,1,1
247,48,74,0.524148,0.373344,0.890214,1,1
191,41,74,0.668806,0.382563,0.896427,1,1
253,49,74,0.553523,0.251769,0.514918,0,1
184,40,74,0.529017,0.303605,0.773167,1,1
254,5,74,0.307432,0.203480,0.273554,0,1
177,4,74,0.503546,0.352591,0.868797,1,1
271,50,74,0.479979,0.406846,0.917459,1,1
168,39,74,0.228298,0.430601,0.723307,1,1
162,38,74,0.146564,0.298418,0.451566,0,1
278,51,74,0.440165,0.371862,0.890977,1,1
155,37,74,0.288321,0.311378,0.770909,1,1
148,36,74,0.100908,0.325556,0.502461,0,1
145,35,74,0.441729,0.413411,0.920902,1,1
286,52,74,0.557462,0.333351,0.841001,1,1
137,34,74,0.416911,0.426806,0.922269,1,1
135,33,74,0.316501,0.417693,0.830925,1,1
321,58,74,0.623569,0.358282,0.870250,1,0
324,59,74,0.442170,0.323326,0.836194,1,1
305,55,74,0.428586,0.338765,0.856630,1,1
345,7,74,0.620095,0.367855,0.881662,1,1
31,14,74,0.140944,0.292264,0.429451,0,1
38,15,74,0.095390,0.378640,0.642206,0,1
349,9,74,0.566388,0.367544,0.883002,1,1
346,8,74,0.428300,0.357670,0.877537,1,1
336,60,74,0.273385,0.390863,0.772286,1,1
10,11,74,0.606402,0.365797,0.879771,1,0
24,13,74,0.607595,0.359499,0.872377,1,1
17,12,74,0.465757,0.250114,0.513100,0,0
331,6,74,0.210309,0.222179,0.314242,0,0
5,10,74,0.379532,0.372868,0.893451,1,1
120,30,114,0.580054,0.390946,0.905866,1,1
99,28,114,0.029231,0.437248,0.680704,1,1
306,55,114,0.540879,0.314512,0.809941,1,1
18,12,114,0.378327,0.284323,0.711310,1,1
105,29,114,0.689890,0.372750,0.885213,1,1
287,52,114,0.545436,0.287595,0.689045,1,1
138,34,114,0.376215,0.411011,0.893658,1,1
109,3,114,0.196348,0.357602,0.652052,1,0
131,32,114,0.549823,0.437162,0.933530,1,1
301,54,114,0.333856,0.334731,0.857012,1,1
146,35,114,0.319697,0.314187,0.824214,1,1
295,53,114,0.569258,0.196703,0.328181,0,0
123,31,114,0.433581,0.313799,0.822469,1,1
25,13,114,0.580182,0.256480,0.530266,0,0
325,59,114,0.262535,0.287581,0.618054,0,1
136,33,114,0.330813,0.325426,0.847751,1,1
347,8,114,0.419549,0.381381,0.899902,1,1
156,37,114,0.338216,0.373648,0.860050,1,1
1,1,114,0.482570,0.393828,0.908853,1,1
232,46,114,0.245959,0.378969,0.737873,1,1
212,44,114,0.289521,0.225998,0.353780,0,0
241,47,114,0.105595,0.430682,0.699330,1,1
205,43,114,0.449000,0.334462,0.850071,1,1
200,42,114,0.482747,0.350552,0.867464,1,1
6,10,114,0.641812,0.316704,0.794129,1,1
248,48,114,0.556292,0.364380,0.879885,1,1
149,36,114,0.296228,0.338259,0.811405,1,1
192,41,114,0.580280,0.308443,0.782145,1,1
350,9,114,0.622173,0.348684,0.858084,1,1
255,5,114,0.299752,0.376587,0.812485,1,1
178,4,114,0.333431,0.263303,0.555668,0,1
11,11,114,0.606402,0.365797,0.879771,1,1
272,50,114,0.409861,0.386280,0.903652,1,1
169,39,114,0.220147,0.446270,0.719912,1,1
163,38,114,0.201207,0.300221,0.507506,0,0
279,51,114,0.509948,0.224428,0.405400,0,0
185,40,114,0.434948,0.289569,0.735840,1,1
337,60,114,0.482109,0.347436,0.863864,1,0
224,45,114,0.149804,0.279464,0.397076,0,1
60,17,114,0.655414,0.357488,0.867913,1,1
82,23,114,0.826771,0.315806,0.765769,1,1
78,21,114,0.425328,0.273656,0.656759,1,1
76,20,114,0.429196,0.387371,0.904363,1,1
85,24,114,0.739169,0.316709,0.773220,1,1
39,15,114,0.064182,0.299465,0.401581,0,0
332,6,114,0.259066,0.280012,0.579407,0,0
320,57,114,0.051925,0.376525,0.610300,0,0
89,26,114,0.425211,0.433957,0.926427,1,1
80,22,114,0.533623,0.272606,0.614004,0,0
97,27,114,0.653753,0.231011,0.424621,0,0
70,2,114,0.137566,0.358918,0.626433,0,1
56,16,114,0.658844,0.391048,0.905033,1,1
67,19,114,0.429586,0.356352,0.876133,1,1
65,18,114,0.623739,0.277855,0.628027,0,0
312,56,114,0.451160,0.266533,0.609954,0,1
322,58,114,0.542101,0.368906,0.885192,1,1
32,14,114,0.107190,0.280630,0.374908,0,1
288,52,154,0.315544,0.200505,0.266119,0,0
57,16,154,0.368608,0.283320,0.702055,1,1
19,12,154,0.148708,0.269288,0.367064,0,1
333,6,154,0.270049,0.374554,0.769399,1,1
61,17,154,0.637301,0.388877,0.903225,1,1
147,35,154,0.291961,0.194457,0.243264,0,0
186,40,154,0.601000,0.291974,0.694860,1,0
12,11,154,0.606402,0.369354,0.883756,1,1
313,56,154,0.464596,0.224787,0.392657,0,1
150,36,154,0.279994,0.259247,0.515871,0,0
7,10,154,0.773139,0.307431,0.750344,1,1
249,48,154,0.642677,0.368500,0.881693,1,1
280,51,154,0.388620,0.214462,0.330780,0,0
193,41,154,0.395120,0.282903,0.707871,1,1
157,37,154,0.378692,0.338181,0.859019,1,0
170,39,154,0.359160,0.423696,0.877039,1,1
71,2,154,0.188347,0.427433,0.701187,1,1
348,8,154,0.208484,0.241011,0.358720,0,0
68,19,154,0.302608,0.317827,0.808285,1,1
40,15,154,0.104068,0.314601,0.471909,0,0
164,38,154,0.538867,0.288546,0.696466,1,0
273,50,154,0.269304,0.293346,0.660654,1,0
326,59,154,0.365542,0.262154,0.556772,0,0
139,34,154,0.311326,0.282249,0.676787,1,0
179,4,154,0.272652,0.211809,0.295452,0,0
100,28,154,0.271355,0.438579,0.771672,1,1
225,45,154,0.148970,0.344583,0.593018,0,1
307,55,154,0.429725,0.251772,0.504391,0,0
338,60,154,0.720129,0.379406,0.892022,1,0
106,29,154,0.571786,0.303348,0.761061,1,1
323,58,154,0.235768,0.297927,0.570758,0,1
110,3,154,0.120753,0.271701,0.357867,0,0
233,46,154,0.180400,0.331086,0.574451,0,1
213,44,154,0.050182,0.260760,0.291696,0,0
302,54,154,0.334880,0.262256,0.549213,0,0
201,42,154,0.471238,0.248978,0.509361,0,0
2,1,154,0.248111,0.319911,0.674411,1,1
90,26,154,0.600355,0.286498,0.670683,1,0
121,30,154,0.432252,0.328600,0.843870,1,1
26,13,154,0.348695,0.245423,0.448532,0,0
256,5,154,0.238010,0.427171,0.734192,1,1
124,31,154,0.420286,0.263079,0.579380,0,1
242,47,154,0.182888,0.412584,0.694828,1,1
296,53,154,0.426840,0.185351,0.247165,0,0
351,9,154,0.555852,0.217619,0.395093,0,1
206,43,154,0.302727,0.157039,0.175973,0,0
86,24,154,0.609082,0.227177,0.417467,0,1
33,14,154,0.131128,0.235613,0.269633,0,0
132,32,154,0.600126,0.431113,0.931044,1,1
83,23,154,0.517372,0.268224,0.595953,0,0
202,42,194,0.469510,0.322686,0.833009,1,1
243,47,194,0.330420,0.201523,0.272559,0,0
62,17,194,0.618490,0.306357,0.763315,1,0
226,45,194,0.137900,0.353684,0.611853,0,0
194,41,194,0.202952,0.318590,0.561881,0,0
207,43,194,0.061076,0.147448,0.133955,0,0
250,48,194,0.686953,0.332540,0.824931,1,1
234,46,194,0.195663,0.298793,0.493062,0,1
214,44,194,0.292187,0.358460,0.803920,1,1
58,16,194,0.145650,0.208839,0.222616,0,0
327,59,194,0.477368,0.268973,0.611903,0,0
3,1,194,0.043083,0.276666,0.327508,0,0
187,40,194,0.463393,0.330475,0.843963,1,0
8,10,194,0.684615,0.310588,0.764351,1,0
308,55,194,0.378095,0.360582,0.882324,1,1
41,15,194,0.092087,0.267280,0.329971,0,0
34,14,194,0.297362,0.240609,0.418600,0,0
125,31,194,0.183972,0.179626,0.199585,0,0
297,53,194,0.428822,0.362607,0.882465,1,1
133,32,194,0.608938,0.417641,0.923842,1,1
27,13,194,0.461836,0.255565,0.542328,0,0
111,3,194,0.155821,0.261161,0.348192,0,0
180,4,194,0.239329,0.195581,0.236914,0,0
20,12,194,0.081169,0.233866,0.244605,0,0
140,34,194,0.366032,0.248413,0.468915,0,1
289,52,194,0.211446,0.218678,0.307435,0,0
334,6,194,0.252806,0.395933,0.747350,1,1
339,60,194,0.587885,0.348627,0.859823,1,1
91,26,194,0.713582,0.206538,0.361171,0,0
151,36,194,0.366532,0.259768,0.541654,0,0
281,51,194,0.525206,0.270948,0.607481,0,1
101,28,194,0.457736,0.325853,0.838294,1,1
352,9,194,0.493523,0.189669,0.279973,0,0
257,5,194,0.284094,0.434944,0.784192,1,1
107,29,194,0.345469,0.183159,0.223743,0,0
13,11,194,0.601276,0.365797,0.879942,1,0
171,39,194,0.681741,0.341349,0.842808,1,0
274,50,194,0.282100,0.269980,0.586651,0,0
165,38,194,0.733752,0.352447,0.857493,1,1
158,37,194,0.344664,0.397161,0.865880,1,0
72,2,194,0.462991,0.426043,0.927346,1,1
314,56,194,0.487150,0.242618,0.480458,0,0
303,54,194,0.637281,0.291163,0.688731,1,1
309,55,234,0.256288,0.342952,0.745799,1,1
235,46,234,0.114708,0.250081,0.297395,0,0
304,54,234,0.650730,0.210380,0.374378,0,1
227,45,234,0.196213,0.361682,0.658686,1,0
335,6,234,0.073193,0.273012,0.334684,0,0
340,60,234,0.609596,0.336449,0.841767,1,1
328,59,234,0.411448,0.350083,0.870353,1,1
290,52,234,0.301556,0.308349,0.793484,1,0
244,47,234,0.415718,0.156881,0.190832,0,0
282,51,234,0.630829,0.410792,0.919918,1,1
251,48,234,0.636019,0.332743,0.831905,1,0
258,5,234,0.206351,0.391098,0.692052,1,0
315,56,234,0.586784,0.312392,0.796108,1,0
298,53,234,0.624380,0.399698,0.912763,1,1
275,50,234,0.285582,0.271794,0.600069,0,0
353,9,234,0.514816,0.236860,0.460291,0,0
141,34,234,0.312479,0.248985,0.461268,0,1
166,38,234,0.565986,0.420314,0.925099,1,1
21,12,234,0.120516,0.285168,0.395858,0,0
159,37,234,0.271499,0.341840,0.773401,1,0
152,36,234,0.428394,0.365892,0.885675,1,1
28,13,234,0.420778,0.307442,0.807433,1,1
181,4,234,0.308247,0.197000,0.253963,0,0
134,32,234,0.564375,0.289269,0.691600,1,1
188,40,234,0.604245,0.408489,0.918494,1,1
126,31,234,0.291367,0.196119,0.247946,0,0
195,41,234,0.469914,0.276401,0.656761,1,0
172,39,234,0.595721,0.337867,0.844750,1,0
112,3,234,0.304287,0.396285,0.816808,1,0
203,42,234,0.408830,0.241372,0.441543,0,1
208,43,234,0.367750,0.318934,0.836875,1,1
35,14,234,0.212829,0.277239,0.464657,0,1
63,17,234,0.681970,0.287170,0.666945,1,0
14,11,234,0.485249,0.282618,0.684019,1,0
4,1,234,0.055548,0.287099,0.362105,0,0
92,26,234,0.712302,0.252026,0.484883,0,0
42,15,234,0.079654,0.321710,0.476294,0,1
215,44,234,0.378319,0.358523,0.880349,1,1
73,2,234,0.551593,0.322077,0.823001,1,0
102,28,234,0.343298,0.196136,0.258561,0,0
9,10,234,0.351581,0.195341,0.257821,0,0
167,38,274,0.459997,0.292590,0.742132,1,1
329,59,274,0.155833,0.402744,0.689635,1,1
43,15,274,0.159204,0.421071,0.697048,1,1
160,37,274,0.382336,0.322178,0.839707,1,1
153,36,274,0.578329,0.354896,0.868083,1,1
36,14,274,0.362906,0.321630,0.840647,1,1
283,51,274,0.881726,0.427966,0.931695,1,1
310,55,274,0.115401,0.316144,0.484248,0,0
316,56,274,0.740389,0.368904,0.879141,1,1
291,52,274,0.456712,0.315290,0.823767,1,1
127,31,274,0.370011,0.326212,0.845659,1,1
29,13,274,0.554631,0.338746,0.848663,1,1
74,2,274,0.484880,0.226418,0.405737,0,0
299,53,274,0.430551,0.302247,0.790186,1,1
113,3,274,0.510241,0.430464,0.929896,1,1
93,26,274,0.805394,0.407660,0.917221,1,1
103,28,274,0.264984,0.192576,0.233521,0,0
142,34,274,0.274155,0.200753,0.257967,0,1
173,39,274,0.567802,0.306639,0.777100,1,1
276,50,274,0.295250,0.282137,0.670761,1,1
341,60,274,0.572972,0.388338,0.903587,1,1
196,41,274,0.616434,0.344528,0.852797,1,1
182,4,274,0.370704,0.333986,0.854759,1,1
245,47,274,0.198138,0.229166,0.313244,0,0
209,43,274,0.649727,0.425464,0.928455,1,1
252,48,274,0.629871,0.364472,0.877439,1,0
259,5,274,0.147053,0.396904,0.685885,1,0
236,46,274,0.315163,0.241647,0.425876,0,0
216,44,274,0.273358,0.256372,0.496432,0,0
189,40,274,0.351471,0.351309,0.874408,1,1
15,11,274,0.555764,0.276176,0.627630,0,1
22,12,274,0.254526,0.390185,0.748515,1,1
228,45,274,0.431414,0.318984,0.831281,1,1
23,12,314,0.292719,0.366209,0.803833,1,1
330,59,314,0.074005,0.239305,0.252991,0,1
30,13,314,0.587692,0.265428,0.572055,0,0
197,41,314,0.517971,0.404984,0.916406,1,1
114,3,314,0.420518,0.420327,0.924278,1,1
44,15,314,0.185672,0.297864,0.477280,0,0
246,47,314,0.105440,0.244667,0.279609,0,1
229,45,314,0.563726,0.287328,0.681104,1,1
94,26,314,0.561837,0.389154,0.904478,1,1
210,43,314,0.478997,0.382241,0.899564,1,0
37,14,314,0.527545,0.318168,0.819157,1,1
317,56,314,0.581919,0.366271,0.881111,1,1
217,44,314,0.070414,0.265791,0.314530,0,0
237,46,314,0.379816,0.283810,0.708643,1,1
190,40,314,0.301364,0.211565,0.297979,0,0
284,51,314,0.718816,0.293810,0.695087,1,1
342,60,314,0.507915,0.252540,0.527127,0,1
292,52,314,0.387907,0.329772,0.848609,1,1
183,4,314,0.325008,0.421118,0.840698,1,1
161,37,314,0.302171,0.249445,0.461696,0,1
174,39,314,0.554317,0.314757,0.808234,1,1
277,50,314,0.401872,0.242598,0.444049,0,1
143,34,314,0.250698,0.224305,0.342969,0,1
16,11,314,0.762187,0.368597,0.878071,1,1
128,31,314,0.393559,0.429057,0.906102,1,1
260,5,314,0.184387,0.400117,0.690594,1,0
154,36,314,0.478764,0.196213,0.294523,0,0
343,60,354,0.303894,0.214878,0.309610,0,1
230,45,354,0.488476,0.195124,0.294567,0,0
318,56,354,0.423013,0.263984,0.586868,0,0
218,44,354,0.139558,0.403685,0.689606,1,1
129,31,354,0.358630,0.390649,0.880228,1,0
238,46,354,0.270026,0.264448,0.545167,0,1
285,51,354,0.631743,0.193615,0.336647,0,0
144,34,354,0.284039,0.277203,0.635503,0,0
95,26,354,0.338693,0.202647,0.277986,0,0
198,41,354,0.487939,0.226261,0.406061,0,0
175,39,354,0.360169,0.202741,0.283186,0,1
115,3,354,0.500311,0.428089,0.928646,1,1
293,52,354,0.123330,0.338121,0.555801,0,0
261,5,354,0.285878,0.397783,0.790356,1,0
45,15,354,0.170671,0.243265,0.312686,0,0
344,60,394,0.193660,0.235235,0.321191,0,0
176,39,394,0.207345,0.144436,0.150946,0,0
219,44,394,0.146532,0.252962,0.320911,0,1
239,46,394,0.118791,0.238344,0.270597,0,0
262,5,394,0.406257,0.431274,0.915205,1,0
46,15,394,0.299465,0.217366,0.319063,0,0
116,3,394,0.458787,0.260812,0.573221,0,1
47,15,434,0.325280,0.322095,0.842657,1,1
220,44,434,0.080833,0.213927,0.212747,0,0
263,5,434,0.597704,0.385304,0.900380,1,0
117,3,434,0.466141,0.167206,0.216059,0,0
264,5,474,0.283368,0.284432,0.677903,1,0
221,44,474,0.298138,0.314467,0.796465,1,0
48,15,474,0.299353,0.300189,0.771939,1,1
118,3,474,0.284020,0.214359,0.306019,0,0
222,44,514,0.541517,0.273818,0.618562,0,0
265,5,514,0.282406,0.312422,0.758655,1,1
49,15,514,0.194681,0.245629,0.348468,0,0
266,5,554,0.191704,0.344483,0.622221,0,1
50,15,554,0.060190,0.269295,0.318005,0,0
267,5,594,0.235889,0.321393,0.644801,0,1
51,15,594,0.169313,0.293898,0.452578,0,0
268,5,634,0.092021,0.246418,0.277528,0,1
52,15,634,0.365656,0.384194,0.887025,1,1
269,5,674,0.050734,0.157459,0.141961,0,0
53,15,674,0.376077,0.437186,0.891180,1,1
54,15,714,0.455488,0.237755,0.443071,0,1
270,5,714,0.012751,0.155614,0.134783,0,0
