frame,prob,label,pred
0,0.872377,1,1
1,0.872377,1,1
2,0.872377,1,1
3,0.872377,1,1
4,0.872377,1,1
5,0.872377,1,1
6,0.872377,1,1
7,0.872377,1,1
8,0.872377,1,1
9,0.872377,1,1
10,0.872377,1,1
11,0.872377,1,1
12,0.872377,1,1
13,0.872377,1,1
14,0.872377,1,1
15,0.872377,1,1
16,0.872377,1,1
17,0.872377,1,1
18,0.872377,1,1
19,0.872377,1,1
20,0.872377,1,1
21,0.872377,1,1
22,0.872377,1,1
23,0.872377,1,1
24,0.872377,1,1
25,0.872377,1,1
26,0.872377,1,1
27,0.872377,1,1
28,0.872377,1,1
29,0.872377,1,1
30,0.872377,1,1
31,0.872377,1,1
32,0.872377,1,1
33,0.872377,1,1
34,0.872377,1,1
35,0.872377,1,1
36,0.872377,1,1
37,0.872377,1,1
38,0.872377,1,1
39,0.872377,1,1
40,0.530266,0,0
41,0.530266,0,0
42,0.530266,0,0
43,0.530266,0,0
44,0.530266,0,0
45,0.530266,0,0
46,0.530266,0,0
47,0.530266,0,0
48,0.530266,0,0
49,0.530266,0,0
50,0.530266,0,0
51,0.530266,0,0
52,0.530266,0,0
53,0.530266,0,0
54,0.530266,0,0
55,0.530266,0,0
56,0.530266,0,0
57,0.530266,0,0
58,0.530266,0,0
59,0.530266,0,0
60,0.530266,0,0
61,0.530266,0,0
62,0.530266,0,0
63,0.530266,0,0
64,0.530266,0,0
65,0.530266,0,0
66,0.530266,0,0
67,0.530266,0,0
68,0.530266,0,0
69,0.530266,0,0
70,0.530266,0,0
71,0.530266,0,0
72,0.530266,0,0
73,0.530266,0,0
74,0.530266,0,0
75,0.530266,0,0
76,0.530266,0,0
77,0.530266,0,0
78,0.530266,0,0
79,0.530266,0,0
80,0.448532,0,0
81,0.448532,0,0
82,0.448532,0,0
83,0.448532,0,0
84,0.448532,0,0
85,0.448532,0,0
86,0.448532,0,0
87,0.448532,0,0
88,0.448532,0,0
89,0.448532,0,0
90,0.448532,0,0
91,0.448532,0,0
92,0.448532,0,0
93,0.448532,0,0
94,0.448532,0,0
95,0.448532,0,0
96,0.448532,0,0
97,0.448532,0,0
98,0.448532,0,0
99,0.448532,0,0
100,0.448532,0,0
101,0.448532,0,0
102,0.448532,0,0
103,0.448532,0,0
104,0.448532,0,0
105,0.448532,0,0
106,0.448532,0,0
107,0.448532,0,0
108,0.448532,0,0
109,0.448532,0,0
110,0.448532,0,0
111,0.448532,0,0
112,0.448532,0,0
113,0.448532,0,0
114,0.448532,0,0
115,0.448532,0,0
116,0.448532,0,0
117,0.448532,0,0
118,0.448532,0,0
119,0.448532,0,0
120,0.542328,0,0
121,0.542328,0,0
122,0.542328,0,0
123,0.542328,0,0
124,0.542328,0,0
125,0.542328,0,0
126,0.542328,0,0
127,0.542328,0,0
128,0.542328,0,0
129,0.542328,0,0
130,0.542328,0,0
131,0.542328,0,0
132,0.542328,0,0
133,0.542328,0,0
134,0.542328,0,0
135,0.542328,0,0
136,0.542328,0,0
137,0.542328,0,0
138,0.542328,0,0
139,0.542328,0,0
140,0.542328,0,0
141,0.542328,0,0
142,0.542328,0,0
143,0.542328,0,0
144,0.542328,0,0
145,0.542328,0,0
146,0.542328,0,0
147,0.542328,0,0
148,0.542328,0,0
149,0.542328,0,0
150,0.542328,0,0
151,0.542328,0,0
152,0.542328,0,0
153,0.542328,0,0
154,0.542328,0,0
155,0.542328,0,0
156,0.542328,0,0
157,0.542328,0,0
158,0.542328,0,0
159,0.542328,0,0
160,0.807433,1,1
161,0.807433,1,1
162,0.807433,1,1
163,0.807433,1,1
164,0.807433,1,1
165,0.807433,1,1
166,0.807433,1,1
167,0.807433,1,1
168,0.807433,1,1
169,0.807433,1,1
170,0.807433,1,1
171,0.807433,1,1
172,0.807433,1,1
173,0.807433,1,1
174,0.807433,1,1
175,0.807433,1,1
176,0.807433,1,1
177,0.807433,1,1
178,0.807433,1,1
179,0.807433,1,1
180,0.807433,1,1
181,0.807433,1,1
182,0.807433,1,1
183,0.807433,1,1
184,0.807433,1,1
185,0.807433,1,1
186,0.807433,1,1
187,0.807433,1,1
188,0.807433,1,1
189,0.807433,1,1
190,0.807433,1,1
191,0.807433,1,1
192,0.807433,1,1
193,0.807433,1,1
194,0.807433,1,1
195,0.807433,1,1
196,0.807433,1,1
197,0.807433,1,1
198,0.807433,1,1
199,0.807433,1,1
200,0.848663,1,1
201,0.848663,1,1
202,0.848663,1,1
203,0.848663,1,1
204,0.848663,1,1
205,0.848663,1,1
206,0.848663,1,1
207,0.848663,1,1
208,0.848663,1,1
209,0.848663,1,1
210,0.848663,1,1
211,0.848663,1,1
212,0.848663,1,1
213,0.848663,1,1
214,0.848663,1,1
215,0.848663,1,1
216,0.848663,1,1
217,0.848663,1,1
218,0.848663,1,1
219,0.848663,1,1
220,0.848663,1,1
221,0.848663,1,1
222,0.848663,1,1
223,0.848663,1,1
224,0.848663,1,1
225,0.848663,1,1
226,0.848663,1,1
227,0.848663,1,1
228,0.848663,1,1
229,0.848663,1,1
230,0.848663,1,1
231,0.848663,1,1
232,0.848663,1,1
233,0.848663,1,1
234,0.848663,1,1
235,0.848663,1,1
236,0.848663,1,1
237,0.848663,1,1
238,0.848663,1,1
239,0.848663,1,1
240,0.572055,0,0
241,0.572055,0,0
242,0.572055,0,0
243,0.572055,0,0
244,0.572055,0,0
245,0.572055,0,0
246,0.572055,0,0
247,0.572055,0,0
248,0.572055,0,0
249,0.572055,0,0
250,0.572055,0,0
251,0.572055,0,0
252,0.572055,0,0
253,0.572055,0,0
254,0.572055,0,0
255,0.572055,0,0
256,0.572055,0,0
257,0.572055,0,0
258,0.572055,0,0
259,0.572055,0,0
260,0.572055,0,0
261,0.572055,0,0
262,0.572055,0,0
263,0.572055,0,0
264,0.572055,0,0
265,0.572055,0,0
266,0.572055,0,0
267,0.572055,0,0
268,0.572055,0,0
269,0.572055,0,0
270,0.572055,0,0
271,0.572055,0,0
272,0.572055,0,0
273,0.572055,0,0
274,0.572055,0,0
275,0.572055,0,0
276,0.572055,0,0
277,0.572055,0,0
278,0.572055,0,0
279,0.572055,0,0
280,0.572055,0,0
281,0.572055,0,0
282,0.572055,0,0
283,0.572055,0,0
284,0.572055,0,0
285,0.572055,0,0
286,0.572055,0,0
287,0.572055,0,0
288,0.572055,0,0
289,0.572055,0,0
290,0.572055,0,0
291,0.572055,0,0
292,0.572055,0,0
293,0.572055,0,0
294,0.572055,0,0
295,0.572055,0,0
296,0.572055,0,0
297,0.572055,0,0
298,0.572055,0,0
299,0.572055,0,0
300,0.572055,0,0
301,0.572055,0,0
302,0.572055,0,0
303,0.572055,0,0
304,0.572055,0,0
305,0.572055,0,0
306,0.572055,0,0
307,0.572055,0,0
308,0.572055,0,0
309,0.572055,0,0
310,0.572055,0,0
311,0.572055,0,0
312,0.572055,0,0
313,0.572055,0,0
314,0.000000,-1,0
315,0.000000,-1,0
316,0.000000,-1,0
317,0.000000,-1,0
318,0.000000,-1,0
319,0.000000,-1,0
320,0.000000,-1,0
321,0.000000,-1,0
322,0.000000,-1,0
323,0.000000,-1,0
324,0.000000,-1,0
