run,auc,f1,recall,precision,TP,FP,FN,TN,batch,accumulate_steps,effective_batch,composite,precision_aware
09,0.7801470588235295,0.07291666666666667,0.03804347826086957,0.875,7,1,177,169,8.0,1.0,8.0,0.1969261508951407,0.615404411764706
03,0.7350362661620939,0.550561797752809,0.4666666666666667,,49,24,56,127,64.0,1.0,64.0,0.5455091258915948,0.31217579255826144
19,0.6957001278772378,0.703962703962704,0.8206521739130435,0.6163265306122448,151,94,33,76,16.0,8.0,128.0,0.7606549237207805,0.6584921020703812
16,0.7188778772378517,0.6390532544378699,0.5869565217391305,0.7012987012987013,108,46,76,124,16.0,8.0,128.0,0.6289698126484965,0.686140902428282
13,0.7462116368286444,0.6335403726708074,0.5543478260869565,0.7391304347826086,102,36,82,134,16.0,8.0,128.0,0.6164783522104493,0.7088696565582755
18,0.6576886189258312,0.5859154929577465,0.5652173913043478,0.6081871345029239,104,67,80,103,16.0,8.0,128.0,0.5899210673246641,0.6114059389239521
15,0.6902653452685422,0.599388379204893,0.532608695652174,0.6853146853146853,98,45,86,125,16.0,8.0,128.0,0.5841739306412632,0.660526925472519
07,0.7533270261747084,0.585635359116022,0.5047619047619047,0.6973684210526315,53,23,52,128,16.0,8.0,128.0,0.5787369653507006,0.675040223496064
17,0.7183024296675191,0.4059040590405904,0.29891304347826086,0.632183908045977,55,32,129,138,16.0,8.0,128.0,0.41488822538481135,0.5815236576686695
14,0.7368446291560102,0.09278350515463918,0.04891304347826087,0.9,9,1,175,169,16.0,8.0,128.0,0.19966049911672426,0.6252039773775938
10,0.7738970588235294,0.0,0.0,0.0,0,0,184,170,16.0,8.0,128.0,0.1547794117647059,0.1547794117647059
12,0.7397538363171356,0.0,0.0,0.0,0,0,184,170,16.0,8.0,128.0,0.14795076726342712,0.14795076726342712
11,0.7325927109974425,0.0,0.0,0.0,0,0,184,170,16.0,8.0,128.0,0.1465185421994885,0.1465185421994885
02,0.7493535162409335,0.6010362694300518,0.5523809523809524,,58,30,47,121,,,,0.6063720602676785,0.3301815840772023
01,0.7463260801009145,0.5325443786982249,0.42857142857142855,,45,19,60,132,,,,0.5233142439153646,0.3090285296296504
