run_dir,auc,f1,recall,TP,FP,FN,TN,composite,alpha,gamma_start,gamma_end,cw_neg,cw_pos,mask_threshold
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg01/01,0.7180069378744875,0.43870967741935485,0.3238095238095238,34,16,71,135,0.4371190527054659,0.22,0.0,1.4,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg02/01,0.6247240618101546,0.0,0.0,0,0,105,151,0.12494481236203092,0.22,0.0,1.6,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg03/01,0.7082308420056764,0.4472049689440994,0.34285714285714286,36,20,69,131,0.4472362305129365,0.25,0.0,1.4,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg04/01,0.7238725953957742,0.3283582089552239,0.20952380952380953,22,7,83,144,0.34804388652762674,0.25,0.0,1.6,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg05/01,0.692967518133081,0.5217391304347826,0.45714285714285713,48,31,57,120,0.5236866713284796,0.28,0.0,1.4,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg06/01,0.7291706086408073,0.6276150627615062,0.7142857142857143,75,59,30,92,0.6912614976994705,0.28,0.0,1.6,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg07/01,0.7470198675496689,0.45569620253164556,0.34285714285714286,36,17,69,134,0.4575414056979989,0.32,0.0,1.4,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg08/01,0.7002838221381268,0.5645933014354066,0.5619047619047619,59,45,46,106,0.5903871358106283,0.32,0.0,1.6,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg09/01,0.7335225480920845,0.5149700598802395,0.4095238095238095,43,19,62,132,0.5059574323443935,0.4,0.0,1.0,1.0,0.75,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw01_fg10/01,0.7289183222958058,0.5871559633027523,0.6095238095238096,64,49,41,102,0.6266923582118916,0.35,0.0,1.0,1.0,0.75,0.6
