run_dir,auc,f1,recall,TP,FP,FN,TN,composite,alpha,gamma_start,gamma_end,cw_neg,cw_pos,mask_threshold
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg01/01,0.7312519709870704,0.5961538461538461,0.5904761904761905,62,41,43,110,0.6203346432816632,0.25,0.0,1.5,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg02/01,0.7262693156732891,0.43312101910828027,0.3238095238095238,34,18,71,133,0.4370949307719038,0.25,0.0,2.0,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg03/01,0.6138126773888364,0.0,0.0,0,0,105,151,0.12276253547776728,0.2,0.0,1.5,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg04/01,0.7400189214758751,0.4161073825503356,0.29523809523809524,31,13,74,138,0.4204550466793233,0.2,0.0,2.0,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg05/01,0.6980132450331126,0.4625,0.3523809523809524,37,18,68,133,0.4545431251970987,0.1,0.0,1.0,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg06/01,0.6858404288867864,0.20168067226890757,0.11428571428571428,12,2,93,149,0.2548151446008867,0.1,0.0,1.5,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg07/01,0.736297697887102,0.6139534883720931,0.6285714285714286,66,44,39,107,0.6457313003747627,0.4,0.0,1.0,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw01_fg08/01,0.7132134973194575,0.5252525252525253,0.49523809523809526,52,41,53,110,0.5478375046586967,0.4,0.0,1.5,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg01/01,0.72961210974456,0.6382978723404256,0.7142857142857143,75,55,30,96,0.6945546407938968,0.25,0.0,1.5,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg02/01,0.7129612109744561,0.4883720930232558,0.4,42,25,63,126,0.48910387010186795,0.25,0.0,2.0,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg03/01,0.7111952065594449,0.34532374100719426,0.22857142857142856,24,10,81,141,0.3601218778997616,0.2,0.0,1.5,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg04/01,0.6535477767265847,0.0,0.0,0,0,105,151,0.13070955534531695,0.2,0.0,2.0,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg05/01,0.6956795963418481,0.5588235294117647,0.5428571428571428,57,42,48,109,0.5782115495204705,0.1,0.0,1.0,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg06/01,0.6205613371176285,0.10344827586206896,0.05714285714285714,6,5,99,146,0.183718178753575,0.1,0.0,1.5,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg07/01,0.7006622516556291,0.5628140703517588,0.5333333333333333,56,38,49,113,0.5756433381033201,0.4,0.0,1.0,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw02_fg08/01,0.74720908230842,0.5959595959595959,0.5619047619047619,59,34,46,117,0.6091820762019438,0.4,0.0,1.5,1.0,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg01/01,0.6780195521917376,0.43312101910828027,0.3238095238095238,34,18,71,133,0.4274449780755935,0.25,0.0,1.5,1.0,0.6,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg02/01,0.7040050457269,0.5,0.41904761904761906,44,27,61,124,0.5003248186691895,0.25,0.0,2.0,1.0,0.6,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg03/01,0.7388205613371177,0.49696969696969695,0.3904761904761905,41,19,64,132,0.49209311659642785,0.2,0.0,1.5,1.0,0.6,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg04/01,0.7267738883632923,0.47058823529411764,0.38095238095238093,40,25,65,126,0.4770074387370842,0.2,0.0,2.0,1.0,0.6,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg05/01,0.7117628508356986,0.07207207207207207,0.0380952380952381,4,2,101,149,0.18302181083638042,0.1,0.0,1.0,1.0,0.6,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw03_fg06/01,0.731693472090823,0.34532374100719426,0.22857142857142856,24,10,81,141,0.36422153100603716,0.1,0.0,1.5,1.0,0.6,0.6
