threshold,auc,precision,recall,f1,composite,precision_aware,TP,FP,FN,TN
0.05,0.6445928842638167,0.5696969696969697,0.8592321755027422,0.685131195335277,0.7640740232047175,0.6193064203018313,470,355,77,165
0.06,0.6445928842638167,0.5724907063197026,0.8446069469835467,0.6824224519940916,0.7559487859427642,0.619890665610842,462,345,85,175
0.07,0.6445928842638167,0.5774647887323944,0.8244972577696527,0.6792168674698795,0.7449322659785534,0.6214160314599244,451,330,96,190
0.08,0.6445928842638167,0.582562747688243,0.8062157221206582,0.6763803680981595,0.7349405483425403,0.6231140611263327,441,316,106,204
0.09,0.6445928842638167,0.5851351351351352,0.7915904936014625,0.6728826728826729,0.7265786255182964,0.6233509462851328,433,307,114,213
0.1,0.6445928842638167,0.5872576177285319,0.7751371115173674,0.6682427107959023,0.7169599458502177,0.6230201989558,424,298,123,222
0.11,0.6445928842638167,0.5943262411347517,0.7659963436928702,0.6693290734824281,0.7127154707439268,0.6268804194648676,419,286,128,234
0.12,0.6445928842638167,0.5979680696661829,0.753199268738574,0.6666666666666666,0.7055182112220503,0.6279026116858547,412,277,135,243
0.13,0.6445928842638167,0.5985294117647059,0.7440585009140768,0.6634066829665851,0.6999698321997773,0.6272052876250918,407,273,140,247
0.14,0.6445928842638167,0.6002994011976048,0.7330895795246801,0.660082304526749,0.6934880579731281,0.6270929688095904,401,267,146,253
0.15,0.6445928842638167,0.5987654320987654,0.7093235831809872,0.6493723849372385,0.6783920839244285,0.6231130083833176,388,260,159,260
0.16,0.6445928842638167,0.6003134796238244,0.70018281535649,0.6464135021097046,0.6729340351639197,0.6229993672975869,383,255,164,265
0.17,0.6445928842638167,0.5987261146496815,0.6873857404021938,0.64,0.6646114470538602,0.6202816341776041,376,252,171,268
0.18,0.6445928842638167,0.6022727272727273,0.6782449725776966,0.6380051590713671,0.6594426108630217,0.6214564882105371,371,245,176,275
0.19,0.6445928842638167,0.6059602649006622,0.6691042047531993,0.635968722849696,0.6542612960842717,0.6226893261580032,366,238,181,282
0.2,0.6445928842638167,0.6057046979865772,0.659963436928702,0.63167104111986,0.6484016076530723,0.6212722381820099,361,235,186,285
0.21,0.6445928842638167,0.6081771720613288,0.6526508226691042,0.6296296296296297,0.6441328770762044,0.6218960517723167,357,230,190,290
0.22,0.6445928842638167,0.6092943201376936,0.6471663619744058,0.6276595744680851,0.6407996301803918,0.6218636092620357,354,227,193,293
0.23,0.6445928842638167,0.60801393728223,0.6380255941499086,0.6226583407671722,0.6347288761578692,0.61972304772403,349,225,198,295
0.24,0.6445928842638167,0.6109154929577465,0.6343692870201096,0.6224215246636772,0.6328296777619212,0.6211027807307398,347,221,200,299
0.25,0.6445928842638167,0.6126126126126126,0.6215722120658135,0.617059891107078,0.6248226502177935,0.620342850491193,340,215,207,305
0.26,0.6445928842638167,0.6162361623616236,0.6106032906764168,0.6134067952249771,0.6182422607584649,0.6210586966010683,334,208,213,312
0.27,0.6445928842638167,0.6179775280898876,0.603290676416819,0.61054579093432,0.6137276523414689,0.6210710781780031,330,204,217,316
0.28,0.6445928842638167,0.6133333333333333,0.5886654478976234,0.6007462686567164,0.6034751813985899,0.6158091241164448,322,203,225,317
0.29,0.6445928842638167,0.6161228406909789,0.5868372943327239,0.601123595505618,0.6026743026708107,0.6173170758499381,321,200,226,320
0.3,0.6445928842638167,0.6130952380952381,0.5648994515539305,0.588011417697431,0.5877717279389579,0.6118696212096117,309,195,238,325
0.31,0.6445928842638167,0.6144578313253012,0.5594149908592322,0.5856459330143541,0.5843198521866856,0.6118412724197201,306,192,241,328
0.32,0.6445928842638167,0.6125760649087221,0.5521023765996343,0.5807692307692308,0.5792005343833497,0.6094373785378936,302,191,245,329
0.33,0.6445928842638167,0.6122448979591837,0.5484460694698354,0.5785920925747348,0.5767192393601015,0.6086186536047756,300,190,247,330
0.34,0.6445928842638167,0.6115702479338843,0.5411334552102377,0.574199806013579,0.5717452462619559,0.6069636426237791,296,188,251,332
0.35,0.6445928842638167,0.6121593291404612,0.5338208409506399,0.5703125,0.5669227473280832,0.606091991422994,292,185,255,335
0.36,0.6445928842638167,0.6094420600858369,0.5191956124314442,0.56071076011846,0.5567296111040234,0.6018528349312198,284,182,263,338
0.37,0.6445928842638167,0.6130434782608696,0.5155393053016454,0.5600794438927508,0.5547120626714113,0.6034641491510233,282,178,265,342
0.38,0.6445928842638167,0.6119733924611973,0.5045703839122486,0.5531062124248497,0.5471356325363426,0.6008371368108169,276,175,271,345
0.39,0.6445928842638167,0.6157303370786517,0.5009140767824497,0.5524193548387096,0.545101421695601,0.602509551843702,274,171,273,349
0.4,0.6445928842638167,0.6155606407322655,0.49177330895795246,0.5467479674796748,0.538829621575642,0.6007232874627985,269,168,278,352
0.41,0.6445928842638167,0.6107226107226107,0.4789762340036563,0.5368852459016393,0.5294722676250833,0.5953454559845605,262,167,285,353
0.42,0.6445928842638167,0.6128266033254157,0.4716636197440585,0.5330578512396694,0.5246677420966934,0.595249233887372,258,163,289,357
0.43,0.6445928842638167,0.6129807692307693,0.46617915904936014,0.5295950155763239,0.5208866610503405,0.5942874661410451,255,161,292,359
0.44,0.6445928842638167,0.6142506142506142,0.4570383912248629,0.5241090146750524,0.5146704768677105,0.5932765883805862,250,157,297,363
0.45,0.6445928842638167,0.6163366336633663,0.45521023765996343,0.5236593059936908,0.5136214874808522,0.5941846854825538,249,155,298,365
0.46,0.6445928842638167,0.6169154228855721,0.453382084095064,0.5226554267650158,0.5124062469298001,0.5941729163250541,248,154,299,366
0.47,0.6445928842638167,0.6175,0.4515539305301645,0.5216473072861668,0.5111897343036956,0.5941627690386134,247,153,300,367
0.48,0.6445928842638167,0.6214833759590793,0.44424131627056673,0.5181236673773987,0.5064763352012663,0.5950973650455226,243,148,304,372
0.49,0.6445928842638167,0.6240208877284595,0.4369287020109689,0.513978494623656,0.5015764762453445,0.5951225691040899,239,144,308,376
0.5,0.6445928842638167,0.6253298153034301,0.43327239488117003,0.5118790496760259,0.4991184891961561,0.5951471994072861,237,142,310,378
0.51,0.6445928842638167,0.6290322580645161,0.42778793418647165,0.5092491838955386,0.4955872991146607,0.596209461053683,234,138,313,382
0.52,0.6445928842638167,0.6346153846153846,0.42230347349177333,0.5071350164654226,0.49221081853827675,0.5983667741000824,231,133,316,387
0.53,0.6445928842638167,0.6358543417366946,0.4149908592321755,0.5022123893805309,0.48707772328301036,0.5975094645352699,227,130,320,390
0.54,0.6445928842638167,0.6324786324786325,0.40585009140767825,0.49443207126948774,0.48017324393744876,0.5934875144729259,222,129,325,391
0.55,0.6445928842638167,0.6347826086956522,0.40036563071297987,0.4910313901345291,0.476410809249612,0.5936192982409482,219,126,328,394
0.56,0.6445928842638167,0.6331360946745562,0.3912248628884826,0.48361581920903957,0.46961575405971645,0.5905713699527533,214,124,333,396
0.57,0.6445928842638167,0.6344410876132931,0.38391224862888484,0.4783599088838269,0.46438267383235377,0.5896470933245579,210,121,337,399
0.58,0.6445928842638167,0.6358024691358025,0.376599634369287,0.4730195177956372,0.45912424937609797,0.5887256667593558,206,118,341,402
0.59,0.6445928842638167,0.6464968152866242,0.3711151736745887,0.4715447154471545,0.45593957832420395,0.5936303991302218,203,111,344,409
0.6,0.6445928842638167,0.6514657980456026,0.3656307129798903,0.468384074941452,0.452249155825144,0.5951666983580002,200,107,347,413
0.61,0.6445928842638167,0.6513157894736842,0.3619744058500914,0.46533490011750883,0.44950624981306164,0.594176941624858,198,106,349,414
0.62,0.6445928842638167,0.6566666666666666,0.360146252285192,0.4651711924439197,0.4485430607285352,0.5968032679192725,197,103,350,417
0.63,0.6445928842638167,0.6494845360824743,0.34552102376599636,0.4510739856801909,0.4370012844398188,0.5889830405980577,189,102,358,418
0.64,0.6445928842638167,0.6770428015564203,0.3180987202925046,0.43283582089552236,0.41781868326767235,0.5972907238996301,174,83,373,437
0.65,0.6445928842638167,0.6825396825396826,0.31444241316270566,0.4305381727158949,0.4153012352488846,0.599349869937373,172,80,375,440
0.66,0.6445928842638167,0.6857142857142857,0.3071297989031079,0.42424242424242425,0.40975620357704456,0.5990484469826335,168,77,379,443
0.67,0.6445928842638167,0.690677966101695,0.2979890310786106,0.4163473818646232,0.40281730695145557,0.5991617744629978,163,73,384,447
0.68,0.6445928842638167,0.6909871244635193,0.2943327239488117,0.4128205128205128,0.39993109267332305,0.5982582929306768,161,72,386,448
0.69,0.6445928842638167,0.6902654867256637,0.2851919561243144,0.4036222509702458,0.39260123020599424,0.5951379955066689,156,70,391,450
0.7,0.6445928842638167,0.6923076923076923,0.2797074954296161,0.3984375,0.38830357456757136,0.5946036730066094,153,68,394,452
0.71,0.6445928842638167,0.6898148148148148,0.27239488117001825,0.3905635648754915,0.38228508690041985,0.5909950537228181,149,67,398,453
0.72,0.6445928842638167,0.6962616822429907,0.27239488117001825,0.3915900131406045,0.38259302137995377,0.59452642191644,149,65,398,455
0.73,0.6445928842638167,0.69377990430622,0.26508226691042047,0.3835978835978836,0.37653907538733866,0.5908878940852385,145,64,402,456
0.74,0.6445928842638167,0.698019801980198,0.2577696526508227,0.376502002670227,0.37075400397924274,0.5908790786439304,141,61,406,459
