frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,1.000000,10.958101,1,1,0.163965,0.554463,-0.137551,0.018386,0.008652,0.180348,0.997135,0.997135,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344218,0.419318,0.234444,0.356543,0.427380,0.230060,0.299751,0.247158,0.161955,0.317916,0.270454,0.171303,3.958016,4.821551,2.695772,4.099726,4.914253,2.645354,6.247915,5.151681,3.375740,6.626531,5.637260,3.570575,0.086967,0.047976,0,0,0,9.597384,13.908496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,1.000000,8.343875,1,1,0.185472,0.570893,-0.251895,0.041338,0.040040,0.119482,0.996089,0.996089,0,0.021507,0.016429,-0.114343,,,,0.334171,0.392318,0.373175,0.326458,0.358656,0.383812,0.296023,0.225655,0.334284,0.311409,0.242932,0.348498,0.989536,1.161719,1.105033,0.966696,1.062038,1.136529,0.883353,0.673372,0.997527,0.929266,0.724928,1.039943,0.337705,0.335112,0,0,0,9.597384,13.908496,0.721435,0.532950,-4.908099,0.721435,0.532950,-4.908099,0.572445,0.053342,-4.335358,0.572445,0.053342,-4.335358,0.562970,-0.030670,-4.334469,0.562970,-0.030670,-4.334469,0.528459,-0.422240,-4.334318,0.528459,-0.422240,-4.334318,0.660570,1.033398,-4.188560,0.660570,1.033398,-4.188560,0.595941,1.462464,-4.189827,0.595941,1.462464,-4.189827,0.524557,1.876754,-4.191429,0.524557,1.876754,-4.191429,0.690051,0.019267,-3.519483,0.690051,0.019267,-3.519483,0.600381,0.966520,-3.341115,0.600381,0.966520,-3.341115,0.001498,-2.990991,0.111141,0.001498,-2.990991,0.111141,0.054057,5.622906,1.034221,0.054057,5.622906,1.034221,0.000160,-3.069583,-0.258117,0.000160,-3.069583,-0.258117,-0.254613,3.656251,0.017416,-0.254613,3.656251,0.017416,0.099798,-0.735826,-2.388380,0.099798,-0.735826,-2.388380,-1.654113,4.352149,-2.605737,-1.654113,4.352149,-2.605737,0.250323,-0.550654,-2.407585,0.250323,-0.550654,-2.407585,-2.093620,4.839292,-3.108850,-2.093620,4.839292,-3.108850,0.207400,-0.064344,-3.005243,0.207400,-0.064344,-3.005243,-2.122798,4.696512,-2.896073,-2.122798,4.696512,-2.896073,0.116290,-0.017952,-2.581092,0.116290,-0.017952,-2.581092,-1.962782,4.192833,-2.569807,-1.962782,4.192833,-2.569807
2,0.066667,1.000000,21.669606,1,1,0.186994,0.565173,-0.217301,0.045197,0.044539,0.131156,0.994465,0.994465,0,0.001522,-0.005720,0.034594,-0.019986,-0.022150,0.148937,0.319395,0.393823,0.451382,0.330384,0.382252,0.462212,0.311246,0.228451,0.376421,0.327076,0.242182,0.386004,0.924125,1.139473,1.306011,0.955921,1.105994,1.337347,0.916547,0.672735,1.108471,0.963162,0.713170,1.136692,0.345619,0.339585,0,0,0,9.597384,13.908496,0.055518,-0.071273,1.998623,-0.665917,-0.604223,6.906722,0.050146,-0.284114,1.811078,-0.522299,-0.337456,6.146436,0.047220,-0.490079,1.810724,-0.515750,-0.459409,6.145193,0.063645,-0.487713,1.810706,-0.464814,-0.065473,6.145024,-0.041933,-0.141705,1.733462,-0.702503,-1.175103,5.922022,0.017549,-0.192209,1.734168,-0.578392,-1.654673,5.923995,0.001300,-0.217368,1.735060,-0.523257,-2.094122,5.926489,0.072350,-0.237899,0.998971,-0.617701,-0.257166,4.518454,0.018952,-0.105318,1.076663,-0.581429,-1.071838,4.417778,-0.001706,-0.232072,2.722358,-0.003204,2.758919,2.611217,-0.145520,-0.098079,2.046481,-0.199577,-5.720985,1.012260,-0.052910,0.124586,2.860392,-0.053070,3.194169,3.118509,-0.368389,0.299883,1.448309,-0.113776,-3.356368,1.430893,-0.001429,-0.835193,3.677541,-0.101227,-0.099367,6.065921,-0.337765,0.241978,0.874536,1.316348,-4.110171,3.480273,0.009269,-1.267776,3.848584,-0.241054,-0.717122,6.256169,-0.309697,0.273203,1.149477,1.783923,-4.566089,4.258327,0.033117,-1.016033,3.538817,-0.174283,-0.951689,6.544060,-0.271130,0.212932,1.041852,1.851668,-4.483580,3.937925,0.010090,-0.815371,3.551049,-0.106200,-0.797419,6.132141,-0.270790,0.228088,0.853261,1.691992,-3.964745,3.423068
3,0.100000,-1.000000,-22.352051,1,-1,0.183317,0.558311,-0.197003,0.033453,0.031728,0.347019,0.994698,0.994698,0,-0.003676,-0.006862,0.020298,-0.005198,-0.001142,-0.014296,0.285375,0.315541,0.405490,0.309386,0.304598,0.400736,0.285204,0.203538,0.318480,0.307106,0.217259,0.314556,2.562130,2.832967,3.640543,2.777704,2.734717,3.597857,3.119401,2.226184,3.483358,3.358946,2.376251,3.440430,0.111382,0.091429,0,0,0,9.597384,13.908496,-0.200253,-0.016957,0.531500,-0.255771,0.054316,-1.467123,-0.130366,-0.011589,0.509116,-0.180512,0.272525,-1.301962,-0.131847,0.034606,0.509607,-0.179067,0.524685,-1.301117,-0.136498,0.047672,0.510430,-0.200143,0.535385,-1.300276,-0.178246,-0.233962,0.534826,-0.136313,-0.092257,-1.198636,-0.221501,-0.402587,0.534530,-0.239050,-0.210378,-1.199638,-0.217773,-0.571361,0.535083,-0.219073,-0.353993,-1.199977,-0.066625,-0.007038,0.652690,-0.138975,0.230861,-0.346281,-0.153981,-0.404679,0.565200,-0.172933,-0.299361,-0.511463,0.008614,2.908660,-3.582414,0.010320,3.140732,-6.304772,-0.016168,-4.537919,-3.561895,0.129352,-4.439840,-5.608376,-0.230871,3.732970,-0.871470,-0.177961,3.608384,-3.731862,-0.235729,-3.015296,-0.800420,0.132660,-3.315179,-2.248729,-0.535550,1.081061,2.146118,-0.534121,1.916254,-1.531423,-0.061046,-1.009258,2.325042,0.276719,-1.251236,1.450506,-0.838841,0.557110,2.642970,-0.848110,1.824886,-1.205614,-0.161385,-1.432834,2.996564,0.148312,-1.706037,1.847087,-0.708852,0.300155,3.055435,-0.741969,1.316188,-0.483382,-0.010528,-1.306549,2.999117,0.260602,-1.519481,1.957265,-0.577853,0.310339,2.372919,-0.587943,1.125710,-1.178130,0.025061,-1.145073,2.386294,0.295851,-1.373161,1.533033
4,0.133333,1.000000,13.422176,1,1,0.188011,0.570590,-0.284817,0.057470,0.055456,0.174466,0.994300,0.994300,0,0.004694,0.012279,-0.087814,0.008371,0.019141,-0.108112,0.352152,0.395441,0.439606,0.339777,0.359892,0.436607,0.315725,0.239904,0.410085,0.325827,0.254225,0.408088,1.090606,1.224673,1.361451,1.052281,1.114578,1.352162,0.993277,0.754744,1.290138,1.025059,0.799800,1.283854,0.322896,0.317861,0,0,0,9.597384,13.908496,0.309353,0.092685,-3.594086,0.509606,0.109642,-4.125586,0.248913,-0.171518,-3.369412,0.379279,-0.159929,-3.878528,0.235506,-0.306855,-3.370501,0.367353,-0.341461,-3.880108,0.220735,-0.434026,-3.373143,0.357233,-0.481698,-3.883573,0.356443,0.041363,-3.434395,0.534689,0.275325,-3.969221,0.325840,0.209713,-3.435001,0.547341,0.612300,-3.969531,0.314319,0.395177,-3.436329,0.532092,0.966538,-3.971412,0.046720,0.004392,-2.567254,0.113345,0.011430,-3.219944,0.234950,0.732331,-2.701546,0.388931,1.137010,-3.266746,-0.000857,-3.061965,0.258201,-0.009471,-5.970625,3.840615,0.082414,3.733211,0.462731,0.098582,8.271130,4.024626,0.134162,-3.787218,-2.619874,0.365033,-7.520188,-1.748404,0.105865,2.408180,-1.144125,0.341594,5.423476,-0.343705,0.037956,-1.710841,-6.873476,0.573506,-2.791902,-9.019594,0.312796,1.200323,-4.081330,0.373842,2.209581,-6.406372,0.072960,-1.228980,-7.483360,0.911801,-1.786090,-10.126330,0.453243,1.672965,-4.774416,0.614628,3.105799,-7.770980,-0.018024,-1.252974,-7.609663,0.690828,-1.553129,-10.665098,0.360163,1.651840,-4.831527,0.370691,2.958389,-7.830644,-0.033105,-1.205572,-7.037993,0.544748,-1.515911,-9.410912,0.308526,1.422154,-4.179042,0.283465,2.567227,-6.565336
5,0.166667,1.000000,14.382945,1,1,0.196666,0.590703,-0.297465,0.061831,0.060918,0.162018,0.994031,0.994031,0,0.008655,0.020113,-0.012648,0.003961,0.007834,0.075165,0.396169,0.419661,0.424170,0.361111,0.376710,0.431147,0.312853,0.225882,0.409488,0.314939,0.243647,0.418788,1.052314,1.114712,1.126689,0.959190,1.000627,1.145223,0.832063,0.600755,1.089073,0.837611,0.648003,1.113808,0.376474,0.375996,0,0,0,9.597384,13.908496,0.349730,0.384956,-0.582144,0.040377,0.292271,3.011942,0.299799,0.039234,-0.577290,0.050886,0.210752,2.792122,0.252204,0.003181,-0.577271,0.016698,0.310036,2.793230,0.261916,0.037583,-0.577933,0.041181,0.471609,2.795210,0.274401,0.272745,-0.467964,-0.082042,0.231382,2.966431,0.270552,0.383588,-0.468474,-0.055288,0.173875,2.966527,0.272761,0.457891,-0.468611,-0.041558,0.062714,2.967718,0.246231,0.521652,-0.446860,0.199511,0.517260,2.120394,0.273061,0.685136,-0.312039,0.038111,-0.047195,2.389507,0.379886,-0.697978,0.076486,0.380743,2.363987,-0.181715,0.151810,1.043204,1.211304,0.069396,-2.690007,0.748573,0.242963,-1.205315,-1.899599,0.108801,2.581903,0.720275,0.061300,0.733341,-0.117128,-0.044565,-1.674839,1.026997,-0.032615,0.025360,-3.048395,-0.070571,1.736201,3.825081,-0.001253,0.354897,-1.466902,-0.314049,-0.845426,2.614428,-0.046018,0.331541,-3.227460,-0.118978,1.560521,4.255900,0.019052,0.451557,-1.705189,-0.434191,-1.221408,3.069227,-0.166889,0.305412,-2.991614,-0.148865,1.558386,4.618049,-0.044260,0.308906,-1.559302,-0.404423,-1.342934,3.272225,-0.153921,0.205250,-2.949134,-0.120816,1.410822,4.088859,-0.048676,0.270812,-1.435781,-0.357202,-1.151342,2.743261
6,0.200000,1.000000,12.045890,1,1,0.210506,0.600668,-0.339249,0.066077,0.065470,0.158467,0.993509,0.993509,0,0.013839,0.009965,-0.041785,0.005184,-0.010147,-0.029136,0.428082,0.427029,0.494640,0.392706,0.378209,0.515491,0.359614,0.226484,0.477309,0.360146,0.247069,0.497218,1.036146,1.033597,1.197246,0.950520,0.915431,1.247712,0.870427,0.548192,1.155302,0.871715,0.598019,1.203490,0.413148,0.413147,0,0,0,9.597384,13.908496,0.344853,0.231689,-1.532319,-0.004877,-0.153267,-0.950175,0.317438,0.045617,-1.605785,0.017639,0.006383,-1.028495,0.277819,-0.021170,-1.604651,0.025615,-0.024351,-1.027380,0.256888,-0.058917,-1.606495,-0.005028,-0.096500,-1.028562,0.316296,0.370445,-1.586473,0.041895,0.097700,-1.118509,0.280214,0.299917,-1.585435,0.009662,-0.083671,-1.116961,0.308052,0.433413,-1.584951,0.035291,-0.024478,-1.116340,0.405776,0.230902,-1.278252,0.159545,-0.290750,-0.831392,0.424591,0.367012,-1.228838,0.151530,-0.318124,-0.916799,0.175378,-0.706420,-0.579050,-0.204508,-0.008442,-0.655536,0.080057,0.406011,-0.046641,-0.071753,-0.637193,-1.257945,0.085217,-1.480247,-0.459034,-0.157746,-0.274932,1.440565,0.032514,0.775185,-0.453677,-0.028786,0.041844,-0.336549,0.561393,-1.605162,-0.587073,0.594008,-1.630522,2.461322,0.004751,0.689115,-1.593227,0.006004,0.334218,-0.126325,0.888005,-1.651045,-0.578297,0.934023,-1.982586,2.649163,0.043345,0.722099,-1.637691,0.024293,0.270542,0.067498,0.749743,-1.262854,-0.929026,0.916632,-1.568266,2.062588,-0.033392,0.659924,-1.503616,0.010868,0.351018,0.055686,0.619352,-1.203915,-0.705680,0.773273,-1.409165,2.243454,-0.046543,0.551634,-1.533399,0.002133,0.280822,-0.097618
7,0.233333,-1.000000,-9.696387,1,-1,0.219510,0.618518,-0.240664,0.069178,0.069132,0.158752,0.993637,0.993637,0,0.009004,0.017850,0.098585,-0.004835,0.007885,0.140370,0.465589,0.474334,0.517840,0.394703,0.363969,0.545315,0.368899,0.232696,0.501443,0.370255,0.248397,0.528782,1.065217,1.085223,1.184761,0.903036,0.832721,1.247620,0.847122,0.534353,1.151492,0.850238,0.570407,1.214271,0.437084,0.435473,0,0,0,9.597384,13.908496,0.351313,0.642176,0.808488,0.006460,0.410487,2.340807,0.332184,0.296988,0.607121,0.014746,0.251371,2.212906,0.339402,0.060514,0.619058,0.061583,0.081684,2.223709,0.332626,0.074909,0.603899,0.075738,0.133826,2.210394,0.187266,0.333084,1.648458,-0.129030,-0.037361,3.234931,0.147915,0.274771,1.657763,-0.132299,-0.025146,3.243198,0.115630,0.228174,1.657881,-0.192422,-0.205239,3.242832,0.333925,0.480679,2.785873,-0.071851,0.249777,4.064125,0.206361,0.590326,3.129285,-0.218230,0.223314,4.358123,0.050683,-0.187013,2.891548,-0.124695,0.519407,3.470598,0.042329,0.482790,4.052994,-0.037728,0.076779,4.099635,-0.009559,-0.212379,1.014378,-0.094776,1.267868,1.473412,-0.103655,0.681928,3.083600,-0.136169,-0.093257,3.537277,0.248090,0.121889,1.508047,-0.313303,1.727051,2.095120,-0.085597,1.025582,1.591265,-0.090348,0.336467,3.184492,0.453822,0.174454,1.381906,-0.434183,1.825499,1.960203,0.031701,1.241598,1.427938,-0.011644,0.519499,3.065629,0.430634,0.307253,1.402883,-0.319109,1.570107,2.331909,-0.029832,0.948615,1.418166,0.003560,0.288691,2.921782,0.376624,0.285964,1.519352,-0.242728,1.489879,2.225032,-0.064551,0.819980,1.559411,-0.018008,0.268346,3.092810
8,0.266667,-1.000000,-6.777529,1,-1,0.218996,0.617000,-0.303755,0.067214,0.066740,0.150446,0.993937,0.993937,0,-0.000514,-0.001518,-0.063091,-0.009519,-0.019369,-0.161677,0.509050,0.500834,0.560056,0.462310,0.433346,0.587634,0.416178,0.218751,0.537483,0.414560,0.238176,0.558814,1.147382,1.128862,1.262347,1.042030,0.976748,1.324506,0.938155,0.493112,1.211602,0.934507,0.536900,1.259688,0.443663,0.443613,0,0,0,9.597384,13.908496,-0.036272,-0.163525,-0.129000,-0.387585,-0.805701,-0.937488,-0.044452,-0.015217,0.088071,-0.376636,-0.312205,-0.519050,0.004843,-0.097786,0.078392,-0.334559,-0.158300,-0.540666,0.019407,-0.147019,0.092136,-0.313219,-0.221928,-0.511763,-0.038371,-0.088098,-0.861262,-0.225637,-0.421182,-2.509720,-0.046808,-0.097046,-0.868677,-0.194723,-0.371817,-2.526440,-0.054995,-0.081686,-0.868059,-0.170625,-0.309860,-2.525940,0.009398,-0.008467,-1.735562,-0.324527,-0.489146,-4.521435,-0.040275,-0.082626,-2.049902,-0.246636,-0.672952,-5.179187,0.045637,0.047597,-0.830302,-0.005046,0.234610,-3.721850,0.010093,0.290900,-1.756815,-0.032236,-0.191890,-5.809809,0.041632,0.260164,0.005668,0.051191,0.472543,-1.008710,0.035933,0.480233,-2.671877,0.139588,-0.201695,-5.755477,0.506290,-0.974744,-1.453021,0.258200,-1.096633,-2.961068,-0.118632,-0.176877,-2.908335,-0.033035,-1.202459,-4.499600,0.622399,-1.453901,-1.775683,0.168577,-1.628355,-3.157589,-0.136533,-0.463194,-3.211151,-0.168234,-1.704792,-4.639089,0.660795,-1.316374,-2.165122,0.230161,-1.623627,-3.568005,-0.207568,-0.418013,-3.008786,-0.177736,-1.366628,-4.426952,0.611225,-1.131946,-1.675467,0.234601,-1.417910,-3.194819,-0.185738,-0.316771,-2.834530,-0.121187,-1.136751,-4.393941
9,0.300000,-1.000000,-12.230239,1,-1,0.220761,0.619161,-0.522053,0.065995,0.065449,0.154901,0.993943,0.993943,0,0.001766,0.002161,-0.218298,0.002280,0.003679,-0.155207,0.482269,0.433695,0.638121,0.461692,0.379259,0.650006,0.461961,0.222633,0.593781,0.458203,0.243984,0.595066,1.139815,1.025013,1.508163,1.091182,0.896356,1.536251,1.093336,0.526913,1.405320,1.084443,0.577444,1.408361,0.423112,0.422524,0,0,0,9.597384,13.908496,0.032916,0.005091,-6.348522,0.069188,0.168616,-6.219522,0.013181,0.024927,-6.469443,0.057633,0.040144,-6.557514,-0.022105,0.022339,-6.470745,-0.026948,0.120125,-6.549137,-0.021748,0.037122,-6.468911,-0.041155,0.184141,-6.561047,0.030938,0.066837,-6.534260,0.069309,0.154935,-5.672998,0.048023,0.066154,-6.537745,0.094831,0.163200,-5.669068,0.070982,0.122534,-6.538137,0.125977,0.204220,-5.670078,0.055469,0.084336,-6.541495,0.046071,0.092803,-4.805933,0.050453,0.045295,-6.556431,0.090728,0.127921,-4.506529,0.030732,0.141437,-6.140686,-0.014905,0.093840,-5.310384,-0.010196,-0.492899,-7.007722,-0.020289,-0.783799,-5.250907,0.180294,0.394919,-3.190390,0.138662,0.134755,-3.196058,0.014761,0.378292,-5.515242,-0.021172,-0.101941,-2.843365,0.419294,-0.773334,-1.737962,-0.086996,0.201410,-0.284941,0.010610,0.251842,-4.131069,0.129242,0.428719,-1.222734,0.304259,-1.178771,-1.603305,-0.318140,0.275130,0.172378,-0.092974,0.150205,-4.147199,0.043559,0.613399,-0.936048,0.375403,-1.397813,-1.909205,-0.285392,-0.081439,0.255917,-0.023310,0.243900,-4.198617,0.184258,0.661913,-1.189831,0.358813,-1.265197,-1.865222,-0.252412,-0.133251,-0.189755,-0.005283,0.291620,-4.169698,0.180455,0.608391,-1.335168
