frame,time_sec,video_width,video_height,fps,l0_x,l0_y,l0_z,l0_v,l0_vx,l0_vy,l0_vz,l1_x,l1_y,l1_z,l1_v,l1_vx,l1_vy,l1_vz,l2_x,l2_y,l2_z,l2_v,l2_vx,l2_vy,l2_vz,l3_x,l3_y,l3_z,l3_v,l3_vx,l3_vy,l3_vz,l4_x,l4_y,l4_z,l4_v,l4_vx,l4_vy,l4_vz,l5_x,l5_y,l5_z,l5_v,l5_vx,l5_vy,l5_vz,l6_x,l6_y,l6_z,l6_v,l6_vx,l6_vy,l6_vz,l9_x,l9_y,l9_z,l9_v,l9_vx,l9_vy,l9_vz,l10_x,l10_y,l10_z,l10_v,l10_vx,l10_vy,l10_vz,l11_x,l11_y,l11_z,l11_v,l11_vx,l11_vy,l11_vz,l12_x,l12_y,l12_z,l12_v,l12_vx,l12_vy,l12_vz,l13_x,l13_y,l13_z,l13_v,l13_vx,l13_vy,l13_vz,l14_x,l14_y,l14_z,l14_v,l14_vx,l14_vy,l14_vz,l15_x,l15_y,l15_z,l15_v,l15_vx,l15_vy,l15_vz,l16_x,l16_y,l16_z,l16_v,l16_vx,l16_vy,l16_vz,l17_x,l17_y,l17_z,l17_v,l17_vx,l17_vy,l17_vz,l18_x,l18_y,l18_z,l18_v,l18_vx,l18_vy,l18_vz,l19_x,l19_y,l19_z,l19_v,l19_vx,l19_vy,l19_vz,l20_x,l20_y,l20_z,l20_v,l20_vx,l20_vy,l20_vz,l21_x,l21_y,l21_z,l21_v,l21_vx,l21_vy,l21_vz,l22_x,l22_y,l22_z,l22_v,l22_vx,l22_vy,l22_vz
0,0.000000,852,480,30.000000,0.357101,0.365478,-0.564071,0.999932,0.000000,0.000000,0.000000,0.383813,0.309705,-0.530762,0.999835,0.000000,0.000000,0.000000,0.399215,0.308896,-0.530713,0.999879,0.000000,0.000000,0.000000,0.412952,0.309688,-0.530902,0.999847,0.000000,0.000000,0.000000,0.340879,0.313199,-0.519661,0.999824,0.000000,0.000000,0.000000,0.329828,0.314366,-0.519084,0.999861,0.000000,0.000000,0.000000,0.320328,0.316309,-0.519389,0.999835,0.000000,0.000000,0.000000,0.392576,0.428658,-0.480572,0.999913,0.000000,0.000000,0.000000,0.341456,0.433797,-0.463013,0.999904,0.000000,0.000000,0.000000,0.563239,0.720864,-0.183855,0.998991,0.000000,0.000000,0.000000,0.253659,0.716296,-0.164088,0.999560,0.000000,0.000000,0.000000,0.590674,1.060038,-0.135496,0.294573,0.000000,0.000000,0.000000,0.205260,1.031336,-0.104398,0.329251,0.000000,0.000000,0.000000,0.595626,1.423213,-0.245280,0.014686,0.000000,0.000000,0.000000,0.211522,1.410474,-0.357262,0.036257,0.000000,0.000000,0.000000,0.630323,1.538398,-0.292984,0.017221,0.000000,0.000000,0.000000,0.192546,1.520243,-0.425955,0.039763,0.000000,0.000000,0.000000,0.597270,1.545179,-0.334166,0.030661,0.000000,0.000000,0.000000,0.223500,1.528104,-0.490671,0.064743,0.000000,0.000000,0.000000,0.586184,1.492819,-0.270574,0.030066,0.000000,0.000000,0.000000,0.234644,1.482154,-0.395630,0.065378,0.000000,0.000000,0.000000
1,0.033333,852,480,30.000000,0.357101,0.359511,-0.639762,0.999936,0.000004,-0.179012,-2.270758,0.383409,0.304494,-0.599331,0.999845,-0.012111,-0.156343,-2.057054,0.398827,0.304246,-0.599352,0.999886,-0.011647,-0.139499,-2.059175,0.412890,0.305221,-0.599538,0.999856,-0.001853,-0.134022,-2.059059,0.341338,0.307362,-0.587024,0.999834,0.013775,-0.175112,-2.020894,0.330716,0.308982,-0.586579,0.999870,0.026648,-0.161537,-2.024859,0.320662,0.311210,-0.586826,0.999844,0.010014,-0.152963,-2.023110,0.392395,0.425234,-0.552092,0.999919,-0.005447,-0.102721,-2.145594,0.341567,0.429104,-0.531444,0.999910,0.003335,-0.140795,-2.052936,0.563221,0.722728,-0.217166,0.999035,-0.000569,0.055926,-0.999304,0.253721,0.716191,-0.201947,0.999565,0.001856,-0.003145,-1.135775,0.616202,1.139569,-0.191584,0.288844,0.765817,2.385943,-1.682647,0.204456,1.040104,-0.141283,0.328241,-0.024099,0.263057,-1.106555,0.632689,1.444519,-0.386272,0.014935,1.111870,0.639174,-4.229756,0.190628,1.433949,-0.443348,0.037209,-0.626823,0.704255,-2.582571,0.658195,1.552853,-0.447752,0.017609,0.836172,0.433652,-4.643053,0.165528,1.534284,-0.522621,0.040653,-0.810530,0.421250,-2.899981,0.622296,1.561867,-0.497701,0.031794,0.750766,0.500668,-4.906066,0.195056,1.548434,-0.590513,0.066893,-0.853299,0.609881,-2.995271,0.609314,1.510981,-0.418234,0.031158,0.693891,0.544871,-4.429805,0.209201,1.504361,-0.484889,0.067428,-0.763276,0.666200,-2.677780
2,0.066667,852,480,30.000000,0.357025,0.357355,-0.637702,0.999939,-0.002290,-0.064675,0.061820,0.382704,0.302240,-0.598796,0.999852,-0.021150,-0.067610,0.016041,0.398066,0.302100,-0.598841,0.999892,-0.022831,-0.064372,0.015344,0.412547,0.302990,-0.599046,0.999863,-0.010302,-0.066937,0.014740,0.341516,0.305174,-0.586209,0.999842,0.005347,-0.065623,0.024447,0.331139,0.307006,-0.585780,0.999877,0.012691,-0.059251,0.023988,0.320819,0.309395,-0.586038,0.999851,0.004691,-0.054456,0.023648,0.391971,0.423830,-0.550559,0.999923,-0.012710,-0.042138,0.045977,0.341593,0.427156,-0.529517,0.999915,0.000767,-0.058428,0.057823,0.563109,0.722815,-0.218372,0.999066,-0.003338,0.002598,-0.036192,0.253822,0.715216,-0.200542,0.999568,0.003031,-0.029231,0.042153,0.624234,1.149920,-0.192596,0.287292,0.240973,0.310521,-0.030361,0.204591,1.044614,-0.161279,0.331234,0.004043,0.135298,-0.599863,0.636725,1.445839,-0.382871,0.015399,0.121098,0.039622,0.102015,0.190927,1.432230,-0.507064,0.039273,0.008953,-0.051548,-1.911468,0.659498,1.553474,-0.444550,0.018138,0.039103,0.018622,0.096065,0.167296,1.530949,-0.591446,0.042636,0.053034,-0.100046,-2.064741,0.623397,1.561341,-0.492666,0.032987,0.033034,-0.015800,0.151053,0.196052,1.541044,-0.654969,0.070459,0.029880,-0.221701,-1.933680,0.610834,1.510522,-0.413321,0.032411,0.045628,-0.013772,0.147412,0.209717,1.499148,-0.547283,0.070770,0.015486,-0.156384,-1.871835
3,0.100000,852,480,30.000000,0.356995,0.356293,-0.632790,0.999942,-0.000891,-0.031860,0.147353,0.382293,0.300935,-0.594507,0.999859,-0.012349,-0.039150,0.128658,0.397624,0.300802,-0.594555,0.999897,-0.013237,-0.038964,0.128567,0.412359,0.301607,-0.594770,0.999869,-0.005634,-0.041472,0.128285,0.341665,0.304029,-0.582044,0.999849,0.004464,-0.034356,0.124971,0.331460,0.305999,-0.581608,0.999883,0.009639,-0.030211,0.125168,0.320948,0.308488,-0.581868,0.999858,0.003893,-0.027210,0.125107,0.391767,0.423069,-0.546366,0.999928,-0.006115,-0.022824,0.125801,0.341625,0.426169,-0.525434,0.999919,0.000964,-0.029634,0.122470,0.563027,0.723082,-0.218491,0.999096,-0.002477,0.008014,-0.003572,0.253855,0.715052,-0.200404,0.999572,0.001013,-0.004935,0.004151,0.625820,1.155634,-0.191433,0.284541,0.047584,0.171418,0.034888,0.204673,1.048181,-0.156258,0.333913,0.002441,0.107020,0.150628,0.637447,1.451650,-0.375651,0.015719,0.021644,0.174329,0.216603,0.190392,1.434757,-0.481301,0.041031,-0.016043,0.075796,0.772889,0.659990,1.558926,-0.436469,0.018523,0.014752,0.163568,0.242426,0.166924,1.531932,-0.561951,0.044248,-0.011167,0.029486,0.884825,0.623600,1.566067,-0.483991,0.033913,0.006110,0.141778,0.260263,0.195252,1.541402,-0.626597,0.073424,-0.024022,0.010765,0.851158,0.611039,1.515396,-0.405761,0.033432,0.006123,0.146213,0.226779,0.209026,1.499365,-0.521369,0.073622,-0.020751,0.006491,0.777436
4,0.133333,852,480,30.000000,0.356606,0.355858,-0.646172,0.999945,-0.011682,-0.013053,-0.401461,0.381062,0.300175,-0.607556,0.999867,-0.036933,-0.022810,-0.391470,0.396427,0.299989,-0.607595,0.999903,-0.035911,-0.024391,-0.391204,0.411580,0.300616,-0.607814,0.999876,-0.023357,-0.029734,-0.391299,0.341651,0.303549,-0.593850,0.999858,-0.000418,-0.014403,-0.354198,0.331460,0.305634,-0.593421,0.999889,-0.000017,-0.010975,-0.354411,0.320926,0.308230,-0.593667,0.999865,-0.000658,-0.007727,-0.353975,0.391183,0.422736,-0.558088,0.999932,-0.017531,-0.010000,-0.351666,0.341615,0.425748,-0.535781,0.999924,-0.000287,-0.012628,-0.310405,0.562911,0.723227,-0.222780,0.999130,-0.003476,0.004358,-0.128665,0.253987,0.714427,-0.197895,0.999573,0.003937,-0.018752,0.075246,0.627300,1.161437,-0.198892,0.286283,0.044391,0.174083,-0.223753,0.204687,1.049586,-0.189808,0.336563,0.000438,0.042146,-1.006500,0.639570,1.459355,-0.395350,0.016667,0.063704,0.231138,-0.590965,0.188150,1.409246,-0.595966,0.043843,-0.067250,-0.765327,-3.439971,0.662210,1.566793,-0.458615,0.019583,0.066597,0.236013,-0.664387,0.165811,1.494848,-0.687915,0.047315,-0.033370,-1.112530,-3.778909,0.625157,1.572603,-0.508244,0.036038,0.046708,0.196087,-0.727595,0.192810,1.493801,-0.747123,0.078678,-0.073240,-1.428040,-3.615784,0.612219,1.521730,-0.426175,0.035638,0.035403,0.190029,-0.612416,0.206173,1.456173,-0.636008,0.078390,-0.085580,-1.295750,-3.439171
5,0.166667,852,480,30.000000,0.356101,0.355429,-0.666465,0.999949,-0.015133,-0.012864,-0.608802,0.379648,0.299256,-0.626549,0.999876,-0.042407,-0.027574,-0.569778,0.395126,0.299013,-0.626581,0.999909,-0.039048,-0.029254,-0.569560,0.410637,0.299478,-0.626759,0.999885,-0.028308,-0.034155,-0.568351,0.341533,0.302878,-0.611195,0.999867,-0.003527,-0.020117,-0.520338,0.331357,0.305068,-0.610764,0.999897,-0.003087,-0.016978,-0.520282,0.320782,0.307803,-0.610983,0.999874,-0.004330,-0.012832,-0.519485,0.390504,0.422305,-0.574396,0.999937,-0.020355,-0.012927,-0.489219,0.341574,0.425206,-0.550492,0.999929,-0.001248,-0.016244,-0.441340,0.562487,0.722630,-0.223343,0.999165,-0.012717,-0.017903,-0.016884,0.253991,0.713509,-0.193595,0.999573,0.000131,-0.027544,0.129020,0.628039,1.158627,-0.213207,0.293682,0.022168,-0.084282,-0.429472,0.204391,1.049996,-0.243050,0.344216,-0.008882,0.012288,-1.597272,0.639981,1.457905,-0.449407,0.019178,0.012335,-0.043491,-1.621725,0.188348,1.332832,-0.772218,0.050854,0.005921,-2.292427,-5.287551,0.662520,1.565686,-0.523299,0.022278,0.009297,-0.033206,-1.940512,0.167288,1.404270,-0.883296,0.055264,0.044306,-2.717332,-5.861424,0.625487,1.572365,-0.575511,0.040861,0.009885,-0.007145,-2.018014,0.194033,1.383360,-0.936566,0.091055,0.036677,-3.313226,-5.683295,0.612229,1.521041,-0.482073,0.040499,0.000302,-0.020667,-1.676948,0.206525,1.352231,-0.812607,0.089431,0.010568,-3.118254,-5.297965
6,0.200000,852,480,30.000000,0.356078,0.355518,-0.667086,0.999953,-0.000679,0.002684,-0.018604,0.379263,0.299270,-0.627129,0.999886,-0.011559,0.000413,-0.017415,0.394735,0.298983,-0.627136,0.999916,-0.011719,-0.000898,-0.016665,0.410334,0.299391,-0.627305,0.999894,-0.009093,-0.002609,-0.016404,0.341539,0.302918,-0.612377,0.999878,0.000176,0.001179,-0.035448,0.331401,0.305091,-0.611925,0.999905,0.001311,0.000713,-0.034844,0.320799,0.307822,-0.612114,0.999884,0.000503,0.000570,-0.033908,0.390367,0.422285,-0.574197,0.999942,-0.004129,-0.000595,0.005965,0.341604,0.425197,-0.551080,0.999935,0.000909,-0.000283,-0.017635,0.562256,0.721931,-0.220990,0.999211,-0.006933,-0.020966,0.070594,0.254029,0.712268,-0.192990,0.999582,0.001154,-0.037217,0.018143,0.627918,1.159388,-0.209914,0.301912,-0.003635,0.022827,0.098816,0.203894,1.050580,-0.280809,0.354608,-0.014922,0.017520,-1.132749,0.642175,1.459042,-0.445829,0.021801,0.065825,0.034118,0.107341,0.187789,1.288831,-0.845657,0.060921,-0.016764,-1.320040,-2.203184,0.665238,1.566604,-0.519048,0.025206,0.081555,0.027523,0.127543,0.168177,1.351183,-0.961112,0.066251,0.026654,-1.592617,-2.334478,0.628039,1.571612,-0.570872,0.046145,0.076579,-0.022588,0.139151,0.193940,1.324228,-1.011341,0.107441,-0.002799,-1.773952,-2.243251,0.614105,1.520605,-0.478522,0.045738,0.056285,-0.013086,0.106537,0.205740,1.297484,-0.885328,0.103981,-0.023538,-1.642424,-2.181648
7,0.233333,852,480,30.000000,0.356134,0.356011,-0.695440,0.999956,0.001669,0.014783,-0.850618,0.379268,0.299336,-0.654309,0.999895,0.000155,0.001987,-0.815372,0.394737,0.299001,-0.654322,0.999923,0.000073,0.000538,-0.815561,0.410329,0.299408,-0.654463,0.999902,-0.000128,0.000530,-0.814734,0.341712,0.303102,-0.637912,0.999887,0.005177,0.005516,-0.766051,0.331772,0.305253,-0.637470,0.999912,0.011143,0.004857,-0.766345,0.321084,0.307942,-0.637652,0.999892,0.008565,0.003608,-0.766157,0.390347,0.422414,-0.598867,0.999947,-0.000587,0.003882,-0.740123,0.341734,0.425300,-0.573821,0.999940,0.003895,0.003094,-0.682220,0.562234,0.722039,-0.227647,0.999251,-0.000660,0.003231,-0.199726,0.253995,0.712194,-0.190670,0.999585,-0.001017,-0.002223,0.069612,0.629399,1.163841,-0.232994,0.311851,0.044451,0.133578,-0.692402,0.201549,1.050942,-0.289647,0.364210,-0.070342,0.010850,-0.265161,0.644633,1.467464,-0.511084,0.025219,0.073714,0.252646,-1.957651,0.184938,1.264248,-0.888652,0.071733,-0.085532,-0.737464,-1.289846,0.668170,1.575232,-0.594361,0.029003,0.087948,0.258847,-2.259407,0.167863,1.320757,-1.011395,0.078208,-0.009401,-0.912795,-1.508494,0.630166,1.576862,-0.649808,0.052924,0.063797,0.157496,-2.368062,0.191234,1.290373,-1.062039,0.125339,-0.081164,-1.015663,-1.520916,0.615505,1.526440,-0.546340,0.052321,0.042014,0.175059,-2.034539,0.202370,1.266855,-0.929579,0.119731,-0.101114,-0.918871,-1.327504
8,0.266667,852,480,30.000000,0.356077,0.356458,-0.680611,0.999959,-0.001726,0.013410,0.444868,0.379134,0.299463,-0.641091,0.999901,-0.004010,0.003828,0.396531,0.394574,0.299072,-0.641129,0.999927,-0.004897,0.002121,0.395785,0.410121,0.299430,-0.641302,0.999907,-0.006264,0.000647,0.394843,0.341734,0.303175,-0.625704,0.999893,0.000683,0.002207,0.366227,0.331840,0.305273,-0.625273,0.999917,0.002025,0.000602,0.365934,0.321134,0.307964,-0.625506,0.999898,0.001501,0.000678,0.364380,0.389852,0.422511,-0.586332,0.999950,-0.014862,0.002888,0.376067,0.341735,0.425322,-0.562566,0.999943,0.000037,0.000649,0.337656,0.561962,0.722321,-0.225755,0.999274,-0.008141,0.008445,0.056770,0.254266,0.711077,-0.187332,0.999583,0.008109,-0.033520,0.100141,0.628234,1.163536,-0.224392,0.314891,-0.034962,-0.009137,0.258044,0.200460,1.043065,-0.239932,0.368417,-0.032657,-0.236295,1.491457,0.643157,1.471415,-0.454870,0.025861,-0.044256,0.118536,1.686419,0.167971,1.290153,-0.879110,0.073597,-0.508997,0.777129,0.286261,0.667402,1.579797,-0.526420,0.029899,-0.023038,0.136957,2.038250,0.146278,1.360403,-0.954186,0.080632,-0.647544,1.189406,1.716256,0.629906,1.583630,-0.580522,0.054813,-0.007803,0.203040,2.078576,0.169946,1.336658,-0.966053,0.130035,-0.638647,1.388540,2.879575,0.615143,1.532918,-0.488418,0.053978,-0.010881,0.194339,1.737671,0.183295,1.305125,-0.892794,0.123722,-0.572256,1.148103,1.103547
9,0.300000,852,480,30.000000,0.356072,0.356697,-0.674524,0.999961,-0.000136,0.007177,0.182599,0.379110,0.299504,-0.635356,0.999907,-0.000730,0.001213,0.172060,0.394545,0.299092,-0.635404,0.999932,-0.000890,0.000589,0.171736,0.410069,0.299448,-0.635587,0.999913,-0.001537,0.000553,0.171458,0.341786,0.303204,-0.620290,0.999899,0.001540,0.000881,0.162429,0.331954,0.305302,-0.619863,0.999922,0.003429,0.000845,0.162290,0.321223,0.307961,-0.620112,0.999904,0.002657,-0.000114,0.161809,0.389688,0.422581,-0.581104,0.999954,-0.004926,0.002108,0.156848,0.341746,0.425337,-0.557706,0.999947,0.000333,0.000460,0.145794,0.561867,0.722648,-0.224318,0.999300,-0.002863,0.009813,0.043091,0.254370,0.710712,-0.187081,0.999585,0.003138,-0.010943,0.007510,0.627314,1.164358,-0.218065,0.318186,-0.027602,0.024641,0.189807,0.199376,1.041313,-0.215440,0.373362,-0.032531,-0.052571,0.734771,0.642680,1.474325,-0.438623,0.026439,-0.014330,0.087293,0.487423,0.163140,1.293241,-0.743998,0.075160,-0.144949,0.092661,4.053379,0.667307,1.583052,-0.508037,0.030687,-0.002866,0.097632,0.551485,0.140316,1.362148,-0.838304,0.082469,-0.178862,0.052346,3.476483,0.630071,1.588068,-0.563558,0.056516,0.004948,0.133138,0.508926,0.164900,1.348116,-0.892021,0.133721,-0.151370,0.343745,2.220955,0.615211,1.537225,-0.472733,0.055433,0.002044,0.129204,0.470532,0.178715,1.319158,-0.781356,0.126855,-0.137379,0.421007,3.343136
